Institution Name;English Institution Name;Country Code;Institution Category - English;Name of the city;Geographic coordinates - latitude;Geographic coordinates - longitude;Total students enrolled ISCED 5-7
Psychologische Hochschule Berlin (Priv. U);;DE;university ;Berlin;52,51214;13,414046;256
Internationale Hochschule Liebenzell;;DE;university of applied sciences;Bad Liebenzell;48,773168;8,727481;215
Hochschule für Kunst, Design und Populäre Musik Freiburg i. Br. (Priv. FH);;DE;university of applied sciences;Freiburg im Breisgau;47,992211;7,834986;226
Akkon HS Berlin (Priv. FH);Akkon University for Applied Sciences;DE;university of applied sciences;Berlin;52,455779;13,394467;461
DEKRA Hochschule für Medien;DEKRA Hochschule für Medien;DE;university of applied sciences;Berlin;52,503803;13,452548;419
Business School Berlin Hochschule für Management;;DE;university of applied sciences;Berlin;52,438759;13,328566;1146
CVJM-Hochschule Kassel (Priv. FH);YMCA University of Applied Sciences;DE;university of applied sciences;Kassel;51,303688;9,414495;395
Hochschule Weserbergland (HSW), Hameln (Priv.FH);Hochschule Weserbergland (HSW), Hameln (Priv.FH);DE;university of applied sciences;Hameln;52,098707;9,35513;480
Leibniz - Fachhochschule Hannover (Priv. FH);Leibniz - Fachhochschule Hannover (Priv. FH);DE;university of applied sciences;Hannover;52,321475;9,818797;586
Hochschule für Gesundheit, Bochum;Hochschule für Gesundheit, Bochum;DE;university of applied sciences;Bochum;51,447286;7,245638;1142
Fliedner Fachhochschule Düsseldorf (Priv. );Fliedner Fachhochschule Düsseldorf (Priv. );DE;university of applied sciences;Düsseldorf;51,299193;6,748032;1164
EBC Hochschule Düsseldorf (Priv. FH);;DE;university of applied sciences;Düsseldorf;51,230114;6,792884;xr
Fachhochschule Dresden (Priv. FH);Fachhochschule Dresden (Priv. FH);DE;university of applied sciences;Dresden;51,047088;13,755083;583
SRH Hochschule der Populären Künste;SRH Hochschule der Populären Künste;DE;university of applied sciences;Berlin;52,49092;13,360211;607
Jade Hochschule;Jade University of Applied Sciences;DE;university of applied sciences;Wilhelmshaven;53,547878;8,088276;7286
Medical School Berlin, Hochschule für Gesundheit und Medizin (Priv. FH);Medical School Berlin, Hochschule für Gesundheit und Medizin (Priv. FH);DE;university of applied sciences;Berlin;52,438735;13,328546;952
Brandenburgische Technische Universität Cottbus-Senftenberg;Brandenburg University of Technology (BTU) Cottbus – Senftenberg;DE;university ;Cottbus;51,76702;14,32707;7341
VWA-Hochschule für berufsbegleitendes Studium Stuttgart (Priv.FH);;DE;m;Freiburg im Breisgau;47,993544;7,84595;213
Hochschule Geisenheim University (FH);Hochschule Geisenheim University (FH);DE;university of applied sciences;Geisenheim;49,984385;7,961379;1600
Designhochschule Leipzig (Priv. FH);;DE;university of applied sciences;Leipzig;51,345113;12,374702;205
IST-Hochschule für Management Düsseldorf (Priv. FH);;DE;university of applied sciences;Düsseldorf;51,219725;6,814041;1769
Medizinische Hochschule Brandenburg in Neuruppin (Priv. U);Brandenburg Medical School Theodor Fontane;DE;m;Brandenburg;52,905273;12,794767;164
Munich Institute of Media and Musical Arts, MIMA München (Priv. Kunst-H);Munich Institute of Media and Musical Arts, MIMA München;DE;university of arts ;München;48,103397;11,537591;m
HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften (Priv. FH);;DE;university of applied sciences;München;48,138142;11,690233;201
AMD Akademie Mode und Design Idstein mit allen Standorten;;DE;university of applied sciences;Hamburg;53,567578;9,996616;1263
GA Hochschule der digitalen Gesellschaft Berlin (Priv. FH);;DE;m;Berlin;52,51214;13,414046;m
NBS Northern Business School Hamburg (Priv. FH);NBS Northern Business School;DE;university of applied sciences;Hamburg;53,570902;10,104867;585
praxisHochschule Köln (Priv. FH);;DE;university of applied sciences;Köln;50,949735;6,943474;455
HSD Hochschule Döpfer Köln (Priv. FH);;DE;university of applied sciences;Köln;50,932017;6,955812;324
Hochschule der Polizei Rheinland-Pfalz in Büchenbeuren;;DE;university of applied sciences of public administration;Büchenbeuren;49,92597;7,252204;1387
Akademie der Polizei Hamburg;Akademie der Polizei Hamburg;DE;university of applied sciences of public administration;Hamburg;53,602919;10,005268;331
Duale Hochschule Gera-Eisenach (FH);;DE;university of applied sciences;Gera;50,905183;12,069956;1248
Københavns Universitet;University of Copenhagen;DK;University;København;55,680428;12,571031;37683
Aarhus Universitet;Aarhus University;DK;University;Århus;56,146047;10,202726;33744
Syddansk Universitet;University of Southern Denmark;DK;University;Odense;55,379062;10,40334;23002
Roskilde Universitet;Roskilde University;DK;University;Roskilde;55,64191;12,087845;7930
Aalborg Universitet;Aalborg University;DK;University;Ålborg;57,01396047;9,98446934;20359
Danmarks Tekniske Universitet;Technical University of Denmark;DK;University;Lyngby;55,785574;12,521381;10813
Handelshøjskolen i Kobenhavn;Copenhagen Business School;DK;University;Frederiksberg;55,682349;12,513336;15499
IT-Universitetet i København;IT University of Copenhagen;DK;University;København;55,641795;12,578021;1777
Arkitektskolen Aarhus;Aarhus School of Architecture;DK;Cultural educ. Inst.;Århus;56,146047;10,202726;742
Designskolen Kolding;Design School Kolding;DK;Cultural educ. Inst.;Kolding;55,495973;9,473052;348
Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering;The Royal Danish Academy of Fine Arts, Schools of Architecture, Design and Conservation;DK;Cultural educ. Inst.;København;55,680737;12,605372;1628
Professionshøjskolen Metropol;Metropolitan University College;DK;University college;København;55,66429862;12,53615653;10190
Professionshøjskolen UCC;University College Copenhagen;DK;University college;København;55,66434;12,536326;10133
Professionshøjskolen University College Nordjylland;University College of Northern Denmark;DK;University college;Hjørring;57,01613825;9,99420607;9364
University College Syddanmark;University College South Denmark;DK;University college;Esbjerg;55,483417;8,48606;6207
University College Lillebælt;University College Lillebaelt;DK;University college;Odense;55,37292096;10,3995923;6903
University College Sjælland;University College Zealand;DK;University college;Sorø;55,439785;11,557509;8214
VIA University College;VIA University College;DK;University college;Risskov;56,19294039;10,18116742;19494
Københavns Erhvervsakademie (KEA);The Copenhagen School of Design and Technology;DK;Business Academy;København;55,69151317;12,5551276;5312
Erhvervsakademi Sjælland;Zealand Institute of Business and Technology;DK;Business Academy;Køge;55,457526;12,182181;3675
Erhvervsakademi Dania;Dania Academy;DK;Business Academy;Randers;56,436453;10,175311;2361
IBA Erhvervsakademi Kolding;IBA International Business Academy;DK;Business Academy;Kolding;55,495973;9,473052;1486
Erhvervsakademiet Lillebælt;Lillebaelt – Academy of professional higher education;DK;Business Academy;Odense;55,394786;10,383395;4555
Erhvervsakademiet Copenhagen Business;Copenhagen Business Academy;DK;Business Academy;København;55,68164;12,576344;5833
Erhvervsakademi SydVest;EA Business Academy SouthWest;DK;Business Academy;Esbjerg;55,483477;8,444612;1415
Erhvervsakademi Midtvest;Business Academy of higher education MidWest (in Danish);DK;Business Academy;Herning;56,138557;8,967322;756
Erhvervsakademi Aarhus;Business Academy Aarhus;DK;Business Academy;Viby;56,120638;10,146379;4789
Danmarks Medie og Journalisthøjskole;Danish School of Media and Journalism;DK;University college;Århus;56,186235;10,188174;2037
SIMAC;Svendborg International Maritime Academy (SIMAC);DK;Maritime educ. Inst.;Svendborg;55,067434;10,607282;721
Kriminalforsorgens Uddannelsescenter;Probation Learning Center;DK;School for police, defence;Birkerød;55,844295;12,422112;159
Ilisimatusarfik;University of Greenland;DK;University;Nuussuaq;64,186111;-51,705556;m
Fróðskaparsetur Føroya;University of the Faroe Islands;DK;University;Tórshavn;62,007864;-6,790982;m
Den Frie Lærerskole;The Independent Academy for Free School Teaching;DK;University college;Vester Skerninge;55,07075;10,506384;317
Tartu Ülikool;University of Tartu;EE;university;Tartu;58,381084;26,719866;11417
Tallinna Tehnikaülikool;Tallinn University of Technology;EE;university;Tallinn;59,394328;24,669469;10246
Tallinna Ülikool;Tallinn University;EE;university;Tallinn;59,438742;24,771645;7431
Eesti Maaülikool;Estonian University of Life Sciences;EE;university;Tartu;58,387995;26,696737;3011
Eesti Ettevõtluskõrgkool Mainor;Estonian Entrepreneurship University of Applied Sciences;EE;institution of professional higher education;Tallinn;59,422703;24,800068;1454
Tallinna Tehnikakõrgkool;TTK University of Applied Sciences;EE;institution of professional higher education;Tallinn;59,426348;24,741397;2183
Estonian Business School;Estonian Business School;EE;university;Tallinn;59,432164;24,756638;1382
Euroakadeemia;Euroacademy;EE;institution of professional higher education;Tallinn;59,40484;24,718422;539
Tallinna Tervishoiu Kõrgkool;Tallinn Health Care College;EE;institution of professional higher education;Tallinn;59,408931;24,709395;1268
Tartu Tervishoiu Kõrgkool;Tartu Health Care College;EE;institution of professional higher education;Tartu;58,365156;26,691299;1022
Eesti Kunstiakadeemia;Estonian Academy of Arts;EE;university;Tallinn;59,43436;24,752371;1022
Sisekaitseakadeemia;Estonian Academy of Security Sciences;EE;institution of professional higher education;Tallinn;59,455962;24,843541;671
Lääne-Viru Rakenduskõrgkool;Lääne-Viru College;EE;institution of professional higher education;Mõdriku;59,304752;26,454664;951
Eesti Muusika- ja Teatriakadeemia;Estonian Academy of Music and Theatre;EE;university;Tallinn;59,431299;24,748214;611
Eesti Infotehnoloogia Kolledž;The Estonian Information Technology College;EE;institution of professional higher education;Tallinn;59,395414;24,664227;956
Eesti Lennuakadeemia;Estonian Aviation Academy;EE;institution of professional higher education;Reola;58,310779;26,693775;251
Tartu Kõrgem Kunstikool;Tartu Art College;EE;institution of professional higher education;Tartu;58,370063;26,730358;313
Arvutikolledž;Computer Science college;EE;institution of professional higher education;Tallinn;59,453685;24,71035;a
Eesti Metodisti Kiriku Teoloogiline Seminar;Baltic Methodist Theological Seminar;EE;institution of professional higher education;Tallinn;59,439792;24,775881;60
Kaitseväe Ühendatud Õppeasutused;Estonian National Defence College;EE;institution of professional higher education;Tartu;58,373496;26,722344;192
EELK Usuteaduse Instituut;Institute of Theology of the Estonian Evangelical Lutheran Church;EE;institution of professional higher education;Tallinn;59,438315;24,74665;132
EEKBKL Kõrgem Usuteaduslik Seminar;Theological Seminary;EE;institution of professional higher education;Tartu;58,377387;26,776191;47
Universidad de Almería;University of Almeria;ES;University;Almería;36,838551;-2,402719;12762
Universidad de Cádiz;University of Cádiz;ES;University;Cádiz;36,533857;-6,297816;21141
Universidad de Córdoba;University of Cordoba;ES;University;Córdoba;37,884685;-4,788526;16858
Universidad de Granada;University of Granada;ES;University;Granada;37,183949;-3,601022;49203
Universidad de Huelva;University of Huelva;ES;University;Huelva;37,259595;-6,942715;10698
Universidad de Jaén;University of Jaén;ES;University;Jaén;37,788358;-3,777176;14530
Universidad de Málaga;University of Málaga;ES;University;Málaga;36,720004;-4,416086;34983
Universidad Pablo de Olavide;Pablo de Olavide University;ES;University;Sevilla;37,355731;-5,940202;10699
Universidad de Sevilla;University of Seville;ES;University;Sevilla;37,38071;-5,990835;58756
Universidad de Zaragoza;University of Zaragoza;ES;University;Zaragoza;41,64207;-0,90152;29629
Universidad de Oviedo;University of Oviedo;ES;University;Oviedo;43,36174;-5,846303;20300
Universitat de les Illes Balears;University of the Balearic Islands;ES;University;Palma;39,641265;2,645484;12862
Universidad de La Laguna;University of La Laguna;ES;University;San Cristóbal de La Laguna;28,481151;-16,315848;18631
Universidad de Las Palmas de Gran Canaria;University of Las Palmas de Gran Canaria;ES;University;Las Palmas de Gran Canaria;28,099186;-15,419921;17894
Universidad de Cantabria;University of Cantabria;ES;University;Santander;43,471039;-3,804115;9947
Universitat Autònoma de Barcelona;Autonomous University of Barcelona;ES;University;Barcelona;41,503787;2,108425;35649
Universitat de Barcelona;University of Barcelona;ES;University;Barcelona;41,38637;2,16346;52580
Universitat de Girona;University of Girona;ES;University;Girona;41,985542;2,827146;14646
Universitat de Lleida;University of Lleida;ES;University;Lleida;41,614769;0,619622;9654
Universitat Politècnica de Catalunya · BarcelonaTech;Universitat Politècnica de Catalunya · BarcelonaTech;ES;University;Barcelona;41,387824;2,169928;29194
Universitat Pompeu Fabra;Pompeu Fabra University;ES;University;Barcelona;41,378973;2,179794;18054
Universitat Rovira i Virgili;Rovira i Virgili University;ES;University;Tarragona;41,122694;1,249866;12988
Universidad de Castilla-La Mancha;University of Castilla-La Mancha;ES;University;Ciudad Real;38,994004;-3,9205;24342
Universidad de Alicante;University of Alicante;ES;University;Alicante;38,384301;-0,513957;24053
Universidad Jaume I de Castellón;Jaume I University;ES;University;Castelló de la Plana;39,994649;-0,068804;13181
Universidad Miguel Hernández de Elche;Miguel Hernández University of Elche;ES;University;Alicante;38,276674;-0,689577;12547
Universidad Politécnica de Valencia;Technical University of Valencia;ES;University;València;39,482369;-0,343578;25635
Universitat de València (Estudi General);University of Valencia;ES;University;València;39,479612;-0,364345;44283
Universidad de Burgos;University of Burgos;ES;University;Burgos;42,340879;-3,727448;7014
Universidad de León;University of León;ES;University;León;42,612247;-5,560375;10761
Universidad de Salamanca;University of Salamanca;ES;University;Salamanca;40,961327;-5,66701;22901
Universidad de Valladolid;University of Valladolid;ES;University;Valladolid;41,651574;-4,720115;21122
Universidad de Extremadura;University of Extremadura;ES;University;Badajoz;38,883135;-7,00534;20405
Universidad de A Coruña;University of A Coruña;ES;University;A Coruña;43,370956;-8,390041;16251
Universidad de Santiago de Compostela;University of Santiago de Compostela;ES;University;Santiago de Compostela;42,880941;-8,545443;21771
Universidad de Vigo;University of Vigo;ES;University;Vigo;42,227345;-8,734255;18856
Universidad de Alcalá;University of Alcalá;ES;University;Alcalá de Henares;40,482428;-3,362855;17214
Universidad Autónoma de Madrid;Autonomous University of Madrid;ES;University;Madrid;40,544517;-3,695439;26360
Universidad Carlos III de Madrid;Carlos III University of Madrid;ES;University;Getafe;40,315858;-3,726675;18526
Universidad Complutense de Madrid;Complutense University of Madrid;ES;University;Madrid;40,437579;-3,725252;66425
Universidad Politécnica de Madrid;Technical University of Madrid;ES;University;Madrid;40,447716;-3,717394;36208
Universidad Rey Juan Carlos;Rey Juan Carlos University;ES;University;Madrid;40,406053;-3,610609;47248
Universidad de Murcia;University of Murcia;ES;University;Murcia;37,982477;-1,127169;30372
Universidad Politécnica de Cartagena;Technical University of Cartagena;ES;University;Cartagena;37,604269;-0,979589;5236
Universidad Pública de Navarra;Public University of Navarra;ES;University;Pamplona;42,797315;-1,632192;7682
Universidad del País Vasco / Euskal Herriko Unibertsitatea;University of the Basque Country;ES;University;Lejoa;43,33097;-2,967907;39891
Universidad de La Rioja;University of La Rioja;ES;University;Logroño;42,463116;-2,428072;4006
IE. Universidad;IE University;ES;University;Segovia;40,952804;-4,118812;4208
Universidad a Distancia de Madrid (UDIMA);Open University of Madrid (UDIMA);ES;University;Madrid;40,609535;-3,974889;7408
Universidad Alfonso X El Sabio;Alfonso X El Sabio University;ES;University;Villanueva de la Cañada;40,45317;-3,985226;6711
Universidad Antonio de Nebrija;Nebrija University;ES;University;Madrid;40,43904;-3,715382;6930
Universidad Camilo José Cela;Camilo José Cela University;ES;University;Villanueva de la Cañada;40,472496;-3,940356;9913
Universidad Cardenal Herrera-CEU;Cardenal Herrera-CEU University;ES;University;Alfara del Patriarca;39,547303;-0,386832;8001
Universidad Católica Santa Teresa de Jesús de Ávila;Catholic University of Avila;ES;University;Ávila;40,665578;-4,701209;2506
Universidad Católica de Valencia;Catholic University of Valencia;ES;University;València;39,470205;-0,380586;10925
Universidad Católica San Antonio de Murcia;San Antonio Catholic University of Murcia;ES;University;Guadalupe;37,991486;-1,18548;12877
Universidad de Deusto;University of Deusto;ES;University;Bilbao;43,271163;-2,938536;9098
Universidad de Navarra;University of Navarra;ES;University;Pamplona;42,801812;-1,657811;9998
Universidad Europea de Madrid;European University of Madrid;ES;University;Madrid;40,375093;-3,923644;11387
Universidad Europea Miguel de Cervantes;European University Miguel de Cervantes;ES;University;Valladolid;41,626006;-4,71554;1525
Universidad Francisco de Vitoria;Francisco de Vitoria University;ES;University;Madrid;40,440338;-3,834792;8154
Universidad Internacional de Andalucía;International University of Andalucía;ES;University;Sevilla;37,398496;-6,008911;255
Universidad Internacional Isabel I de Castilla;International University Isabel I de Castilla;ES;University;Burgos;42,341249;-3,710031;5213
Universidad Internacional de la Rioja;International University of La Rioja;ES;University;Logroño;42,459877;-2,44929;21879
Universidad Internacional Menéndez Pelayo;Menéndez Pelayo International University;ES;University;Madrid;40,443032;-3,720191;1573
Universidad Mondragón Unibertsitatea;Mondragon University;ES;University;Arrasate;43,062172;-2,496897;4505
Universidad Nacional de Educación a Distancia;National University of Distance Education;ES;University;Madrid;40,438102;-3,703706;145579
Universidad Pontificia Comillas;Comillas Pontifical University;ES;University;Madrid;40,429525;-3,711433;8945
Universidad Pontificia de Salamanca;Pontifical University of Salamanca;ES;University;Salamanca;40,96318;-5,666934;4510
Universidad San Jorge;San Jorge University;ES;University;Zaragoza;41,756273;-0,834215;2280
Universidad San Pablo-CEU;San Pablo-CEU University;ES;University;Madrid;40,443772;-3,717395;8401
Universitat Abat Oliba CEU;Abat Oliba-CEU University;ES;University;Barcelona;41,409649;2,126294;1772
Universitat de Vic - Universitat Central de Catalunya;University of Vic - Central University of Catalonia;ES;University;Vic;41,933774;2,247276;7086
Universitat Internacional de Catalunya;International University of Catalonia;ES;University;Barcelona;41,405966;2,123666;3522
Universitat Internacional Valenciana (VIU);Valencian International University;ES;University;València;39,47154;-0,371984;5090
Universitat Oberta de Catalunya;Open University of Catalonia;ES;University;Barcelona;41,406408;2,194724;47494
Universitat Ramón Llull;Ramon Llull University;ES;University;Barcelona;41,411886;2,131169;15541
Universidad Europea Canarias;;ES;University;Orotava (La);28,390541;-16,524434;447
Universidad Europea Valencia;;ES;University;València;39,475465;-0,365225;1529
Universidad Loyola Andalucia;Loyola University Andalusia;ES;University;Sevilla;37,338927;-5,977729;2356
Universidad Europea del Atlántico;European University of the Atlantic;ES;University;Santander;43,451792;-3,875909;1544
Universidad Fernando Pessoa-Canarias;Fernando Pessoa Canarias University;ES;University;Santa María de Guía de Gran Canaria;28,136593;-15,633778;285
Helsingin yliopisto;University of Helsinki;FI;University;Helsinki;60,172635;24,951042;27354
Turun yliopisto;University of Turku;FI;University;Turku;60,456297;22,285114;14161
Åbo Akademi;Åbo Akademi University;FI;University;Turku;60,450987;22,2776;5146
Oulun yliopisto;University of Oulu;FI;University;Oulu;65,059318;25,466294;11461
Tampereen yliopisto;University of Tampere;FI;University;Tampere;61,493649;23,778853;11671
Jyväskylän yliopisto;University of Jyväskylä;FI;University;Jyväskylä;62,236532;25,731634;12319
Svenska handelshögskolan;Hanken School of Economics;FI;University;Helsinki;60,170742;24,924435;2408
Vaasan yliopisto;University of Vaasa;FI;University;Vaasa;63,104345;21,593229;4967
Lappeenrannan teknillinen yliopisto;Lappeenranta University of Technology LUT;FI;University;Lappeenranta;61,064568;28,093246;4392
Tampereen teknillinen yliopisto;Tampere University of Technology;FI;University;Tampere;61,449795;23,858641;6763
Lapin yliopisto;University of Lapland;FI;University;Rovaniemi;66,485339;25,715048;4020
Maanpuolustuskorkeakoulu;Finnish National Defence University;FI;University;Helsinki;60,153907;25,054709;824
Aalto-yliopisto;Aalto University;FI;University;Espoo;60,184776;24,830952;14707
Itä-Suomen yliopisto;University of Eastern Finland;FI;University;Kuopio;62,895559;27,641009;13894
Taideyliopisto;University of the Arts Helsinki;FI;University;Helsinki;60,17386;24,931296;1779
Lapin ammattikorkeakoulu;Lapland University of Applied Sciences;FI;University of Applied Sciences;Rovaniemi;66,481552;25,721936;5827
Högskolan på Åland;Åland University of Applied Sciences;FI;University of Applied Sciences;Maarianhamina - Mariehamn;60,103478;19,928545;563
HAAGA-HELIA ammattikorkeakoulu;HAAGA-HELIA University of Applied Sciences;FI;University of Applied Sciences;Helsinki;60,201373;24,934041;10413
Metropolia ammattikorkeakoulu;Metropolia University of Applied Sciences;FI;University of Applied Sciences;Helsinki;60,163079;24,931342;16597
Yrkeshögskolan Novia;Novia University of Applied Sciences;FI;University of Applied Sciences;Vaasa;63,106368;21,593607;4057
Tampereen ammattikorkeakoulu;Tampere University of Applied Sciences;FI;University of Applied Sciences;Tampere;61,503217;23,808275;9592
Hämeen ammattikorkeakoulu;Häme University of Applied Sciences;FI;University of Applied Sciences;Hämeenlinna;60,97649;24,47633;6669
Karelia-ammattikorkeakoulu;Karelia University of Applied Sciences;FI;University of Applied Sciences;Joensuu;62,59625;29,777826;3747
Lahden ammattikorkeakoulu;Lahti University of Applied Sciences;FI;University of Applied Sciences;Lahti;61,006323;25,654687;5030
Oulun ammattikorkeakoulu;Oulu University of Applied Sciences;FI;University of Applied Sciences;Oulu;64,999658;25,510703;7935
Seinäjoen ammattikorkeakoulu;Seinäjoki University of Applied Sciences;FI;University of Applied Sciences;Seinäjoki;62,789595;22,82184;4825
Kajaanin ammattikorkeakoulu;Kajaani University of Applied Sciences;FI;University of Applied Sciences;Kajaani;64,215065;27,710553;2302
Jyväskylän ammattikorkeakoulu;JAMK University of Applied Sciences;FI;University of Applied Sciences;Jyväskylä;62,251346;25,743309;7297
Mikkelin ammattikorkeakoulu;Mikkeli University of Applied Sciences;FI;University of Applied Sciences;Mikkeli;61,687578;27,206765;4611
Satakunnan ammattikorkeakoulu;Satakunta University of Applied Sciences;FI;University of Applied Sciences;Pori;61,477577;21,790498;5853
Turun ammattikorkeakoulu;Turku University of Applied Sciences;FI;University of Applied Sciences;Turku;60,449593;22,294851;9521
Yrkeshögskolan Arcada;Arcada University of Applied Sciences;FI;University of Applied Sciences;Helsinki;60,201531;24,966226;2467
Centria ammattikorkeakoulu;Centria University of Applied Sciences;FI;University of Applied Sciences;Kokkola;63,833892;23,158892;3056
Savonia ammattikorkeakoulu;Savonia University of Applied Sciences;FI;University of Applied Sciences;Kuopio;62,889325;27,629418;6600
Poliisiammattikorkeakoulu;Police University college;FI;University of Applied Sciences;Tampere;61,452499;23,852862;565
Kymenlaakson ammattikorkeakoulu;Kymenlaakso University of Applied Sciences;FI;University of Applied Sciences;Kotka;60,461148;26,950643;4599
Saimaan ammattikorkeakoulu;Saimaa University of Applied Sciences;FI;University of Applied Sciences;Lappeenranta;61,066487;28,092921;3295
Diakonia-ammattikorkeakoulu;Diaconia University of Applied Sciences;FI;University of Applied Sciences;Helsinki;60,199024;24,969184;2909
Vaasan ammattikorkeakoulu;Vaasa University of Applied Sciences;FI;University of Applied Sciences;Vaasa;63,10642;21,591697;3227
Laurea ammattikorkeakoulu;Laurea University of Applied Sciences;FI;University of Applied Sciences;Vantaa;60,294987;25,044058;7691
Humanistinen ammattikorkeakoulu;Humak University of Applied Sciences;FI;University of Applied Sciences;Helsinki;60,221161;24,902511;1544
Université Nice - Sophia-Antipolis;University of Nice Sophia Antipolis;FR;University;Nice;43,7168812836;7,26729398492;m
Université de technologie de Troyes;University of Technology of Troyes;FR;Technological university;Troyes;48,269146;4,066716;m
"École de l'air";;FR;Engineering School;Salon-de-Provence;43,624831;5,111683;m
"École nationale supérieure d'architecture de Marseille";;FR;Higher education in arts, cultures or architecture;Marseille;43,229591;5,434393;m
"École supérieure d'art et de design Marseille-Mediterranée";;FR;Higher education in arts, cultures or architecture;Marseille;43,228555;5,43565;m
École centrale de Marseille;;FR;Engineering School;Marseille;43,342462;5,43711;m
Aix-Marseille université;Aix-Marseille University;FR;University;Marseille;43,2936444552;5,3587082935;m
Université de Caen Basse-Normandie;University of Caen Lower Normandy;FR;University;Caen;49,1752693168;-0,341863497472;m
"École supérieure d'arts et médias de Caen - Cherbourg";"École supérieure d'arts et médias de Caen - Cherbourg";FR;Higher education in arts, cultures or architecture;Caen;49,180832;-0,346372;m
"École nationale supérieure d'ingénieurs de Caen";;FR;Engineering School;Caen;49,214788;-0,367219;m
"École supérieure d'ingénieurs des travaux de la construction de Caen";;FR;Engineering School;Épron;49,216273;-0,366575;m
"École européenne supérieure de l'image";;FR;Higher education in arts, cultures or architecture;Angoulême;45,653391;0,149939;m
"École d'ingénieurs en génie des systèmes industriels";"École d'ingénieurs en génie des systèmes industriels";FR;Engineering School;La Rochelle;46,139727;-1,154497;m
Université de La Rochelle;University of La Rochelle;FR;University;La Rochelle;46,1475886339;-1,15510646668;m
"École nationale supérieure d'art de Bourges";;FR;Higher education in arts, cultures or architecture;Bourges;47,085765;2,395095;m
"École nationale supérieure d'art de Dijon";;FR;Higher education in arts, cultures or architecture;Dijon;47,321309;5,035335;m
Université de Bourgogne;University of Burgundy;FR;University;Dijon;47,3218079738;5,06303009583;m
École nationale des greffes;;FR;School in Law and administration;Dijon;47,32958;5,049613;m
"Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement";;FR;Grands Etablissments;Dijon;47,311248927;5,06552283617;m
École nationale supérieure de mécanique et des microtechniques;;FR;Engineering School;Besançon;47,2510047997;5,99398824479;m
Université de Franche-Comté;University of Franche-Comté;FR;University;Besançon;47,2405907374;6,02308808798;m
"École nationale d'ingénieurs de Brest";;FR;Engineering School;Brest;48,3637318959;-4,54789351353;m
École Navale;;FR;Engineering School;Lanvéoc;48,278234;-4,413725;m
École nationale supérieure de techniques avancées Bretagne;;FR;Engineering School;Brest;48,418846;-4,47204;m
Université de Bretagne Occidentale;University of Western Brittany;FR;University;Brest;48,398286372;-4,50773595993;m
"Institut supérieur de l'électronique et du numérique Brest";;FR;Engineering School;Brest;48,407084;-4,495559;m
"École des mines d'Alès";;FR;Engineering School;Alès;44,132278;4,089421;m
Université de Nîmes;University of Nîmes;FR;University;Nîmes;43,8422579735;4,3564583783;m
Institut supérieur des Arts de Toulouse;;FR;Higher education in arts, cultures or architecture;Toulouse;43,600275;1,440043;m
"École nationale supérieure d'architecture de Toulouse";;FR;Higher education in arts, cultures or architecture;Toulouse;43,579438;1,3969;m
Institut national des sciences appliquées de Toulouse;;FR;Engineering School;Toulouse;43,568255;1,467133;m
"École d'ingénieurs de Purpan";;FR;Engineering School;Toulouse;43,601115;1,399696;m
Institut catholique de Toulouse;Catholic University of Toulouse;FR;Private higher education institution;Toulouse;43,595426;1,443006;m
"École nationale de l'aviation civile";French Civil Aviation University;FR;Engineering School;Toulouse;43,565156;1,479281;m
Institut national polytechnique de Toulouse;National Polytechnic Institute of Toulouse;FR;National Polytechnic Institute;Toulouse;43,555454;1,503866;m
Université Toulouse 1 - Capitole;Toulouse 1 University Capitole;FR;University;Toulouse;43,6062729734;1,4355249307;m
Université Toulouse - Jean Jaurès;University of Toulouse II - Jean Jaurès;FR;University;Toulouse;43,5784328606;1,40265675189;m
Université de Toulouse 3 - Paul Sabatier;Paul Sabatier University;FR;University;Toulouse;43,5608264691;1,46936246291;m
"Institut supérieur de l'aéronautique et de l'espace";;FR;Engineering School;Toulouse;43,565513;1,473954;m
"École nationale supérieure d'architecture et de paysage de Bordeaux";;FR;Higher education in arts, cultures or architecture;Talence;44,794024;-0,604072;m
École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine;;FR;Engineering School;Gradignan;44,792737;-0,608565;m
Université Bordeaux Montaigne;Bordeaux Montaigne University;FR;University;Pessac;44,801464485;-0,61505808481;m
École des beaux-arts de Bordeaux;;FR;Higher education in arts, cultures or architecture;Bordeaux;44,830666;-0,560345;m
École nationale de la magistrature;French national school for the judiciary;FR;School in Law and administration;Bordeaux;44,836908;-0,579461;m
Institut polytechnique de Bordeaux;;FR;Grands Etablissments;Talence;44,805591;-0,6052;m
École nationale supérieure de chimie de Montpellier;;FR;Engineering School;Montpellier;43,6348;3,865474;m
École nationale supérieure d’architecture de Montpellier;;FR;Higher education in arts, cultures or architecture;Montpellier;43,636475;3,856929;m
Université Montpellier 3 - Paul-Valéry;Paul Valéry University, Montpellier 3;FR;University;Montpellier;43,6325624277;3,86938127095;m
"Institut national d'études supérieures agronomiques de Montpellier";;FR;Engineering School;Montpellier;43,617615;3,856;m
École nationale supérieure de chimie de Rennes;;FR;Engineering School;Rennes;48,117744;-1,633971;m
