Institution Name;English Institution Name;Country Code;Institution Category - English;Name of the city;Geographic coordinates - latitude;Geographic coordinates - longitude;Total students enrolled ISCED 5-7
Universität Mozarteum Salzburg;University of Music and Dramatic Arts Mozarteum Salzburg;AT;Public university;Salzburg;47,803875;13,043665;1298,605555556
Universität für Musik und darstellende Kunst Graz;University of Music and Performing Arts Graz;AT;Public university;Graz;47,072247;15,449938;1383,308730159
Universität für künstlerische und industrielle Gestaltung Linz;University of Art and Design Linz;AT;Public university;Linz;48,306922;14,28653;974,014430014
Katholische Privatuniversität Linz;Catholic Private University Linz;AT;Private university;Linz;48,303627;14,291625;269,319047619
Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik;Private University for Health Sciences, Medical Informatics and Technology;AT;Private university;Hall in Tirol;47,283685;11,517236;726,616666667
Paracelsus Medizinische Privatuniversität Salzburg;Paracelsus Medical University;AT;Private university;Salzburg;47,809023;13,031273;868,666666667
Webster University Vienna - Private University;Webster University Vienna - Private University;AT;Private university;Vienna;48,214162;16,382935;363,2
Anton Bruckner Privatuniversität;Anton Bruckner Private University;AT;Private university;Linz;48,311278;14,268935;553,2
NDU New Design University Privatuniversität St. Pölten;New Design University St. Pölten (NDU);AT;Private university;St. Pölten;48,187461;15,619269;315,666666667
Musik und Kunst Privatuniversität der Stadt Wien;Music and Arts University of the City of Vienna;AT;Private university;Vienna;48,204724;16,372188;540,866666667
Sigmund Freud Privatuniversität Wien;Sigmund Freud Private University Vienna;AT;Private university;Vienna;48,215287;16,40512;2739,179411765
MODUL University Vienna;MODUL University Vienna;AT;Private university;Vienna;48,274919;16,336149;332,833333333
Privatuniversität Schloss Seeburg;Private University Schloss Seeburg;AT;Private university;Seekirchen am Wallersee;47,903196;13,136132;431,5
Private Pädagogische Hochschule Stiftung Burgenland;University of Education in Burgenland;AT;University college of teacher education;Eisenstadt;47,829538;16,533653;642,16504329
Pädagogische Hochschule Kärnten;University College of Teacher Education, Carinthia;AT;University college of teacher education;Klagenfurt;46,608199;14,2893;766,34469697
Pädagogische Hochschule Niederösterreich;;AT;University college of teacher education;Baden bei Wien;48,008448;16,255286;2607,907045134
Pädagogische Hochschule Oberösterreich;University of Education, Upper Austria;AT;University college of teacher education;Linz;48,307679;14,304722;1976,52978817
Private Pädagogische Hochschule der Diözese Linz;Private University College of Education of the Diocese of Linz;AT;University college of teacher education;Linz;48,297254;14,273343;1541,901415154
Pädagogische Hochschule Salzburg Stefan Zweig;Salzburg University of Education Stefan Zweig;AT;University college of teacher education;Salzburg;47,792704;13,054129;835,653327131
Pädagogische Hochschule Steiermark;University of Teacher Education Styria;AT;University college of teacher education;Graz;47,082623;15,433965;1911,157045732
Kirchliche Pädagogische Hochschule der Stiftung der Diözese Graz-Seckau;Catholic University College for Education Graz;AT;University college of teacher education;Graz;47,082157;15,437974;692,220093795
Pädagogische Hochschule Tirol;Pedagogical University Tyrol;AT;University college of teacher education;Innsbruck;47,253412;11,395287;1181,34792291
Kirchliche Pädagogische Hochschule Edith Stein;;AT;University college of teacher education;Innsbruck;47,272275;11,387565;542,686811799
Pädagogische Hochschule Vorarlberg;;AT;University college of teacher education;Feldkirch;47,234016;9,590097;672,831256244
Pädagogische Hochschule Wien;University College of Teacher Education in Vienna;AT;University college of teacher education;Vienna;48,164943;16,374042;3966,942026819
Kirchliche Pädagogische Hochschule Wien/Krems;Christian University College of Teacher Education Vienna/Krems;AT;University college of teacher education;Vienna;48,294276;16,380996;3793,26321119
Hochschule für Agrar- und Umweltpädagogik Wien;University College for Agrarian and Environmental Pedagogy;AT;University college of teacher education;Vienna;48,184207;16,266374;489,366666667
Fachhochschule Burgenland GmbH;University of Applied Sciences Burgenland;AT;University of applied sciences;Eisenstadt;47,829455;16,535033;2853,015451215
Fachhochschule Salzburg GmbH;Salzburg University of Applied Sciences;AT;University of applied sciences;Puch bei Hallein;47,723353;13,087109;2865,283333333
Fachhochschule St. Pölten GmbH;University of Applied Sciences St. Pölten;AT;University of applied sciences;St. Pölten;48,214041;15,631899;2623,466666667
CAMPUS 02 Fachhochschule der Wirtschaft GmbH;CAMPUS 02 University of Applied Sciences;AT;University of applied sciences;Graz;47,08934;15,440102;1247,743290043
Fachhochschule des bfi Wien GmbH;University of Applied Science bfi Vienna Ltd.;AT;University of applied sciences;Vienna;48,219207;16,4033;2017,124242424
MCI - Management Center Innsbruck Internationale Hochschule GmbH;Management Center Innsbruck Ltd.;AT;University of applied sciences;Innsbruck;47,269325;11,398077;2979,866666667
Bundesministerium für Landesverteidigung und Sport, Sektion II, Gruppe Ausbildungswesen, Ausbildung A;Federal Ministry of Defence;AT;University of applied sciences;Wiener Neustadt;47,79;16,23;124,833333333
FHS Kufstein Tirol Bildungs GmbH;Kufstein University of Applied Sciences;AT;University of applied sciences;Kufstein;47,584095;12,173451;1733,25
FH OÖ Studienbetriebs GmbH;University of Applied Sciences Upper Austria;AT;University of applied sciences;Wels;48,154925;14,01125;5728,076190476
Fachhochschule Campus Wien;FH Campus Wien - University of Applied Sciences;AT;University of applied sciences;Vienna;48,157933;16,381835;5458,724242424
Lauder Business School;Lauder Business School;AT;University of applied sciences;Vienna;48,242678;16,352458;354,5
FHG – Zentrum für Gesundheitsberufe Tirol GmbH;Health University of Applied Sciences Tyrol;AT;University of applied sciences;Innsbruck;47,258669;11,379587;670,833333333
FFH Gesellschaft zur Erhaltung und Durchführung von Fachhochschul-Studiengängen mbH;Ferdinand Porsche Fern FH-Studiengänge;AT;University of applied sciences;Wiener Neustadt;47,812814;16,23836;665,233333333
FHWien der WKW;University of Applied Sciences for Management & Communication;AT;University of applied sciences;Vienna;48,226615;16,34888;3218,412301587
Fachhochschule Vorarlberg GmbH;Vorarlberg University of Applied Sciences;AT;University of applied sciences;Dornbirn;47,406375;9,744306;1403,5
Fachhochschule Technikum Wien;University of Applied Sciences Technikum Vienna;AT;University of applied sciences;Vienna;48,239347;16,377303;4130,30952381
IMC Fachhochschule Krems GmbH;IMC University of Applied Sciences Krems;AT;University of applied sciences;Krems an der Donau;48,408799;15,588888;2645,920634921
Fachhochschule Wiener Neustadt für Wirtschaft und Technik GmbH;University of Applied Sciences Wiener Neustadt for Business and Engineering;AT;University of applied sciences;Wiener Neustadt;47,838749;16,247791;3578,2
Fachhochschule Kärnten;Carinthia University of Applied Sciences;AT;University of applied sciences;Spittal an der Drau;46,797385;13,501077;2376,878571429
FH JOANNEUM Gesellschaft mbH;University of Applied Sciences Joanneum;AT;University of applied sciences;Graz;47,069076;15,409886;4210,695238095
Danube Private University;Danube Private University;AT;Private university;Krems an der Donau;48,400414;15,575868;1091,333333333
FH Gesundheitsberufe Oberösterreich;University of Applied Sciences for Health Professions Upper Austria;AT;University of applied sciences;Linz;48,302102;14,310824;796,333333333
Karl Landsteiner Privatuniversität für Gesundheitswissenschaften;Karl Landsteiner University of Health Sciences;AT;Private university;Krems an der Donau;48,407426;15,588643;119,583333333
Université de Namur;University of Namur;BE;University;Namur;50,4662458;4,8605017;m
Université Saint-Louis - Bruxelles;;BE;University;Brussels;50,8540333;4,3619845;m
Université catholique de Louvain;UCLouvain;BE;University;Louvain-La-Neuve;50,669698;4,61559;m
Université de Liège;University of Liège;BE;University;Liège;50,583055;5,559106;m
Université de Mons;University of Mons;BE;University;Mons;50,4586454;3,9521766;m
Université libre de Bruxelles;ULB;BE;University;Brussels;50,8119483;4,3826169;m
Haute Ecole ICHEC - ECAM - ISFSC;ICHEC Brussels Management School - ECAM Business Engineering school - ISFSC;BE;University college;Brussels;50,8384717;4,4085494;m
Haute Ecole Albert Jacquard;Haute Ecole Albert Jacquard;BE;University college;Namur;50,4669577;4,8625226;m
Haute Ecole Charlemagne;;BE;University college;Liège;50,6234794;5,5746307;m
Haute Ecole en Hainaut;;BE;University college;Mons;50,4598267;3,9559358;m
Haute Ecole Robert Schuman;;BE;University college;Libramont;49,928024;5,378817;m
Haute Ecole de la Province de Liège;;BE;University college;Jemeppe-sur-Sambre;50,620464;5,5152977;m
Haute Ecole de la Province de Namur;University College of the Province of Namur;BE;University college;Namur;50,4653515;4,8395318;m
Haute Ecole de la Ville de Liège;;BE;University college;Liège;50,6397571;5,569953;m
Haute Ecole Ephec;EPHEC University College;BE;University college;Woluwe-Saint-Lambert;50,8501243;4,4487108;m
Haute Ecole Francisco Ferrer;;BE;University college;Brussels;50,8405936;4,3423287;m
Haute Ecole Galilée;;BE;University college;Brussels;50,8582322;4,3680852;m
Haute Ecole Léonard de Vinci;;BE;University college;Woluwe-Saint-Lambert;50,849913;4,4537721;m
Haute Ecole Libre de Bruxelles Ilya Prigogine;;BE;University college;Brussels;50,8210471;4,3400327;m
Haute Ecole Libre Mosane;HELMo University College;BE;University college;Liège;50,6445277;5,565953;m
Haute Ecole Louvain en Hainaut;;BE;University college;Mons;50,4515068;3,9822532;m
Haute Ecole Lucia de Brouckère;;BE;University college;Anderlecht;50,8154713;4,2948127;m
Haute Ecole Provinciale du Hainaut - Condorcet;HEPH-Condorcet;BE;University college;Mons;50,46385;3,9527548;m
Académie des Beaux-Arts de la ville de Tournai;;BE;Arts college;Tournai;50,6076614;3,3900159;m
Académie royale des Beaux-Arts de la Ville de Bruxelles - École supérieure des Arts;Royal Academy of fine-Arts of Brussels;BE;Arts college;Brussels;50,843661;4,347247;m
Ecole supérieure des Arts de la Ville de Liège;;BE;Arts college;Liège;50,6470445;5,5687346;m
Conservatoire royal de musique de Bruxelles;Royal Conservatoire of Brussels;BE;Arts college;Brussels;50,83935952;4,3557521;m
Conservatoire royal de musique de Liège;Conservatoire royal de Liège;BE;Arts college;Liège;50,635406;5,570046;m
Ecole supérieure des Arts du Cirque;Superior School of Circus Arts;BE;Arts college;Anderlecht;50,8150669;4,2975849;m
Ecole supérieure des Arts - École de Recherche graphique;;BE;Arts college;Brussels;50,822084;4,357101;m
Ecole nationale supérieure des Arts visuels de La Cambre;La Cambre;BE;Arts college;Brussels;50,8178008;4,3751015;m
"Ecole supérieure des Arts de l'Image LE 75";;BE;Arts college;Brussels;50,8446166;4,4399664;m
Ecole supérieure des Arts Saint-Luc de Liège;ESA Saint-Luc Liège;BE;Arts college;Liège;50,643502;5,5849651;m
Ecole supérieure des Arts Institut Saint-Luc Tournai;;BE;Arts college;Tournai;50,6459841;3,3435667;m
Institut des Arts de Diffusion;;BE;Arts college;Louvain-La-Neuve;50,6690093;4,6016352;m
Institut national supérieur des Arts du Spectacle et des Techniques de Diffusion;;BE;Arts college;Brussels;50,839915;4,3613157;m
Institut supérieur de Musique et de Pédagogie;;BE;Arts college;Namur;50,4645146;4,8454983;m
Katholieke Universiteit Leuven;KU Leuven;BE;University;Leuven;50,877954;4,700295;44362
Transnationale Universiteit Limburg;Transnational University Limburg;BE;University;Diepenbeek;50,908246;5,406091;1547
Universiteit Hasselt;Hasselt University;BE;University;Diepenbeek;50,908246;5,406091;3846
Universiteit Antwerpen;University of Antwerp;BE;University;Antwerpen;51,22281;4,410232;15926
Universiteit Gent;Ghent University;BE;University;Gent;51,046562;3,727918;35261
Vrije Universiteit Brussel;The Vrije Universiteit Brussel;BE;University;Ixelles;50,82155;4,394813;11062
Arteveldehogeschool;University college Arteveldehogeschool;BE;University College/University of Applied Science;Gent;51,055572;3,723217;12325
Erasmushogeschool Brussel;Erasmus University College Brussels;BE;University College/University of Applied Science;Anderlecht;50,842239;4,322808;5374
Hogere Zeevaartschool;Antwerp maritime academy;BE;University College/University of Applied Science;Antwerpen;51,240545;4,39816;586
Hogeschool Gent;University College Ghent;BE;University College/University of Applied Science;Gent;51,052531;3,728087;13159
