Institution Name;English Institution Name;Country Code;Institution Category - English;Total students enrolled ISCED 5-7;Total students enrolled at ISCED 8
Sveučilište u Dubrovniku;University of Dubrovnik;HR;Universitiy;1840;a
Sveučilište Jurja Dobrile u Puli;Juraj Dobrila University of Pula;HR;Universitiy;3709;10
Sveučilište Josipa Jurja Strossmayera u Osijeku;Josip Juraj Strossmayer University of Osijek;HR;Universitiy;17023;287
Sveučilište u Rijeci;University of Rijeka;HR;Universitiy;15995;451
Sveučilište u Splitu;University of Split;HR;Universitiy;19214;315
Sveučilište u Zadru;University of Zadar;HR;Universitiy;5323;156
Sveučilište u Zagrebu;University of Zagreb;HR;Universitiy;64207;2092
Međimursko veleučilište u Čakovcu;Polytechnic of Međimurje in Čakovec;HR;Polytechnic;1044;a
Tehnicko veleučilište u Zagrebu;Polytechnic of Zagreb;HR;Polytechnic;3818;a
Veleučilište u Karlovcu;Karlovac University of Applied Sciences;HR;Polytechnic;1708;a
"Veleucilište ""Lavoslav Ružička"" u Vukovaru";College of Applied Sciences Lavoslav Ružička in Vukovar;HR;Polytechnic;923;a
"Veleučilište ""Marko Marulić"" u Kninu";"Polytechnic ""Marko Marulić"" in Knin";HR;Polytechnic;414;a
"Veleučilište ""Nikola Tesla"" u Gospiću";"University of Applied Sciences ""Nikola Tesla"" in Gospić";HR;Polytechnic;488;a
Veleučilište u Požegi;Polytechnic in Požega;HR;Polytechnic;1146;a
Veleučilište u Rijeci;Polytechnic of Rijeka;HR;Polytechnic;2146;a
Veleučilište u Šibeniku;Polytechnic of Šibenik;HR;Polytechnic;1026;a
Veleučilište u Slavonskom Brodu;College of Slavonski Brod;HR;Polytechnic;1019;a
Zdravstveno veleučilište Zagreb;University of Applied Health Sciences, Zagreb;HR;Polytechnic;2891;a
Veleučilište Velika Gorica;University of Applied Sciences Velika Gorica;HR;Polytechnic;1740;a
Veleučilište VERN`, Zagreb;Vern University of Applied Sciences, Zagreb;HR;Polytechnic;1707;a
Visoka policijska škola u Zagrebu;The Police College Zagreb, Croatia;HR;School of professional higher education;487;a
Visoko gospodarsko učilište u Križevcima;Križevci College of Agriculture;HR;School of professional higher education;536;a
Visoka škola za menadžment u turizmu i informatici u Virovitici;College for Management in Tourism and Informatics in Virovitica;HR;School of professional higher education;403;a
RIT Croatia;Rochester Institute of Technology Croatia;HR;School of professional higher education;519;a
Visoka škola za informacijske tehnologije, Zagreb;College for Information Technologies, Zagreb;HR;School of professional higher education;551;a
Veleučilište Baltazar Zaprešić;University of Applied Sciences Baltazar Zaprešić;HR;School of professional higher education;1544;a
Visoka škola za sigurnost, Zagreb;College of occupational safety and health;HR;School of professional higher education;324;a
Visoka tehnicka škola u Bjelovaru;Technical college in Bjelovar;HR;School of professional higher education;704;a
Zagrebacka škola ekonomije i managementa, Zagreb;Zagreb School of Economics and Management, Zagreb;HR;School of professional higher education;685;a
Politehnika Pula, Visoka tehničko-poslovna škola s pravom javnosti, Pula-Pola;Polytechnic Pula - College of applied sciences, Pula-Pola;HR;School of professional higher education;175;a
Visoka poslovna škola Zagreb;Zagreb School of Business;HR;School of professional higher education;376;a
Visoko učilište Algebra – Visoka škola za primijenjeno računalstvo, Zagreb;University College Algebra – University College for Applied Computer Engineering, Zagreb;HR;School of professional higher education;737;a
Visoko učilište Effectus – Visoka škola za financije i pravo, Zagreb;University College EFFECTUS – College for Finance and Law, Zagreb;HR;School of professional higher education;596;a
Sveučilište Sjever, Koprivnica;University North, Koprivnica;HR;Universitiy;2892;a
Edward Bernays Visoka škola za komunikacijski menadžment, Zagreb;Edward Bernays College of Communication Management;HR;School of professional higher education;292;a
Hrvatsko katoličko sveučilište, Zagreb;Croatian Catholic University, Zagreb;HR;Universitiy;851;a
Libertas Međunarodno Sveučilište;Libertas International University;HR;Universitiy;1288;a
Budapesti Corvinus Egyetem (BCE);Corvinus University of Budapest;HU;university;11177;208
Budapesti Műszaki és Gazdaságtudományi Egyetem (BME);Budapest University of Technology and Economics;HU;university;22288;513
Debreceni Egyetem (DE);University of Debrecen;HU;university;25940;827
Eötvös Loránd Tudományegyetem (ELTE);Eötvös Loránd University;HU;university;25911;1356
Kaposvári Egyetem (KE);Kaposvár University;HU;university;2747;79
Liszt Ferenc Zeneművészeti Egyetem (LFZE);Liszt Ferenc Academy of Music (University);HU;university;799;50
Magyar Képzőművészeti Egyetem (MKE);Hungarian Academy of Fine Arts;HU;university;699;38
Miskolci Egyetem (ME);University of Miskolc;HU;university;9342;185
Moholy-Nagy Művészeti Egyetem (MOME);Moholy-Nagy University of Art and Design;HU;university;806;62
Nyugat-magyarországi Egyetem (NYME);University of West Hungary;HU;university;4810;106
Pannon Egyetem (PE);University of Pannonia;HU;university;6213;143
Pécsi Tudományegyetem (PTE);University of Pécs;HU;university;18702;982
Semmelweis Egyetem (SE);Semmelweis University;HU;university;10364;438
Széchenyi István Egyetem (SZE);Széchenyi István University;HU;university;12569;174
Szegedi Tudományegyetem (SZTE);University of Szeged;HU;university;20866;717
Szent István Egyetem (SZIE);Szent István University;HU;university;12653;386
Színház- és Filmművészeti Egyetem (SZFE);University of Theatre and Film Arts;HU;university;388;40
Andrássy Gyula Budapesti Német Nyelvű Egyetem;Andrássy Gyula University, Budapest;HU;university;220;39
Debreceni Református Hittudományi Egyetem (DRHE);Debrecen Reformed Theological University;HU;university;588;20
Károli Gáspár Református Egyetem (KRE);Károli Gáspár University of the Reformed Church in Hungary;HU;university;7660;94
Közép-európai Egyetem (KEE);Central European University;HU;university;420;58
Pázmány Péter Katolikus Egyetem (PPKE);Pázmány Péter Catholic University;HU;university;7868;270
Budapesti Gazdasági Egyetem (BGE);Budapest Business School – University of Applied Sciences;HU;college;15641;a
Óbudai Egyetem (OE);Óbuda University;HU;university;11552;151
Dunaújvárosi Egyetem (DE);University of Dunaújváros;HU;college;1716;a
Eötvös József Főiskola (EJF);Eötvös József College;HU;college;656;a
Eszterházy Károly Egyetem (EKE);Eszterházy Károly University;HU;college;7939;84
Magyar Táncművészeti Főiskola (MTF);Hungarian Dance Academy;HU;college;485;a
Nyíregyházi Egyetem (NYE);University of Nyíregyháza;HU;college;3761;a
A Tan Kapuja Buddhista Főiskola (TKBF);"""The Gate of the Teaching"" Buddhist College";HU;college;224;a
Apor Vilmos Katolikus Főiskola (AVKF);Apor Vilmos Catholic College;HU;college;1011;a
Baptista Teológiai Akadémia (BTA);Baptist Theological Seminary;HU;college;481;a
Budapesti Metropolitan Egyetem (METU);Budapest Metropolitan University;HU;college;6069;a
Gábor Dénes Főiskola (GDF);Dennis Gabor College;HU;college;1230;a
Gál Ferenc Főiskola (GFF);Gál Ferenc College;HU;college;1119;a
IBS Nemzetközi Üzleti Főiskola (IBS);International Business School;HU;college;1511;a
Kodolányi János Főiskola (KJF);Kodolányi János University of Applied Sciences;HU;college;2025;a
Pető András Főiskola (PAF);Pető András College;HU;college;278;a
Pécsi Püspöki Hittudományi Főiskola;Theological College of Pécs;HU;college;205;a
Sapientia Szerzetesi Hittudományi Főiskola (SSZHF);Sapientia College of Theology of Religious Orders;HU;college;261;a
Sárospataki Református Teológiai Akadémia (SRTA);Sárospatak Theological Academy of the Reformed Church;HU;college;211;a
Sola Scriptura Lelkészképző és Teológiai Főiskola (SSTF);Sola Scriptura College of Theology;HU;college;202;a
Szent Atanáz Görög Katolikus Hittudományi Főiskola;Szent Atanáz Greek Catholic Theological Institute, Nyíregyháza;HU;college;246;a
Szent Pál Akadémia (SZPA);Saint Paul Academy;HU;college;644;a
Tomori Pál Főiskola (TPFK);Tomori Pál College;HU;college;555;a
Wekerle Sándor Üzleti Főiskola (WSUF);Wekerle Business School;HU;college;532;a
Wesley János Lelkészképző Főiskola (WJLF);John Wesley Theological College;HU;college;202;a
Zsigmond Király Egyetem;King Sigismund University of Applied Sciences;HU;college;1451;a
Nemzeti Közszolgálati Egyetem (NKE);National University of Public Service;HU;university;5704;238
Edutus Főiskola (EDUTUS);Edutus College;HU;college;958;a
Neumann János Egyetem (NJE);John von Neumann University;HU;university;4393;a
Állatorvostudományi Egyetem;University of Veterinary Medicine;HU;university;1876;47
Testnevelési Egyetem;University of Physical Education;HU;university;2014;39
University College Dublin;University College Dublin;IE;University;23306;1536
University College Cork;University College Cork;IE;University;17601;1122
National University of Ireland, Galway;National University of Ireland, Galway;IE;University;15688;1166
Trinity College Dublin;Trinity College Dublin;IE;University;14742;1516
Maynooth University;Maynooth University;IE;University;11022;366
Dublin City University;Dublin City University;IE;University;14453;711
University of Limerick;University of Limerick;IE;University;12211;739
Athlone Institute of Technology;Athlone Institute of Technology;IE;Institute of Technology;4356;22
Cork Institute of Technology;Cork Institute of Technology;IE;Institute of Technology;10326;116
Dublin Institute of Technology;Dublin Institute of Technology;IE;Institute of Technology;16686;448
Dún Laoghaire Institute of Art, Design and Technology;Dún Laoghaire Institute of Art, Design and Technology;IE;Institute of Technology;2312;a
Dundalk Institute of Technology;Dundalk Institute of Technology;IE;Institute of Technology;4920;20
Galway-Mayo Institute of Technology;Galway-Mayo Institute of Technology;IE;Institute of Technology;6272;26
Institute of Technology, Blanchardstown;Institute of Technology, Blanchardstown;IE;Institute of Technology;2992;12
Institute of Technology, Carlow;Institute of Technology, Carlow;IE;Institute of Technology;6951;9
Institute of Technology, Sligo;Institute of Technology, Sligo;IE;Institute of Technology;3663;35
Institute of Technology, Tallaght;Institute of Technology, Tallaght;IE;Institute of Technology;4893;9
Institute of Technology, Tralee;Institute of Technology, Tralee;IE;Institute of Technology;2728;s
Letterkenny Institute of Technology;Letterkenny Institute of Technology;IE;Institute of Technology;3733;0
Limerick Institute of Technology;Limerick Institute of Technology;IE;Institute of Technology;5730;17
Waterford Institute of Technology;Waterford Institute of Technology;IE;Institute of Technology;7345;148
Mary Immaculate College of Education, Limerick;Mary Immaculate College of Education, Limerick;IE;College;3641;119
National College of Art & Design, Dublin;National College of Art & Design, Dublin;IE;College;1138;14
RCSI Univeristy of Medicine and Health Sciences;RCSI Univeristy of Medicine and Health Sciences;IE;College;3251;204
"St. Angela's College, Sligo";"St. Angela's College, Sligo";IE;College;1047;a
Landbúnaðarháskóli íslands;Agricultural University of Iceland;IS;University;m;m
Háskólinn á Bifröst;Bifröst University;IS;University;m;a
Háskólinn á Hólum;Hólar University College;IS;University;m;a
Listaháskóli Íslands;Iceland Academy of Arts;IS;University;m;a
Háskólinn í Reykjavík;Reykjavik University;IS;University;m;m
Háskólinn á Akureyri;University of Akureyri;IS;University;m;a
Háskóli Íslands;University of Iceland;IS;University;m;m
Università Politecnica delle MARCHE;Marche Polytechnic University;IT;University;16038;370
"Università della VALLE D'AOSTA";Università della Valle d’Aosta;IT;University;1057;a
Università della CALABRIA;University of Calabria;IT;University;26154;251
Politecnico di BARI;Polytechnic of Bari;IT;Technical University;9657;121
Università degli Studi di BARI ALDO MORO;University of Bari Aldo Moro;IT;University;45936;388
Università degli Studi del SANNIO di BENEVENTO;University of Sannio;IT;University;5128;110
"Università Telematica ""GIUSTINO FORTUNATO""";"Online University ""Giustino Fortunato""";IT;Online University;4043;a
Università degli Studi di BERGAMO;University of Bergamo;IT;University;16958;169
Università degli Studi di BOLOGNA;University of Bologna;IT;University;81500;1192
Libera Università di BOLZANO;Free University of Bozen-Bolzano;IT;University;3287;121
Università degli Studi di SCIENZE GASTRONOMICHE;University of Gastronomic Sciences;IT;University;414;a
Università degli Studi di BRESCIA;University of Brescia;IT;University;14581;181
Università degli Studi di CAGLIARI;University of Cagliari;IT;University;26162;358
Università degli Studi di CAMERINO;University of Camerino;IT;University;7345;192
Università degli Studi del MOLISE;University of Molise;IT;University;7013;100
"Libera Università Mediterranea ""Jean Monnet"" – LUM";LUM Jean Monnet University;IT;University;2806;23
Universita degli studi di Cassino e del Lazio Meridionale;University of Cassino and Southern Lazio;IT;University;7745;108
"Università ""Carlo Cattaneo"" - LIUC";LIUC – Università Cattaneo;IT;University;2230;17
Università degli Studi di CATANIA;University of Catania;IT;University;43607;305
"Università degli Studi ""Magna Graecia"" di CATANZARO";"University ""Magna Graecia""";IT;University;10710;152
"Università degli Studi ""G. d'Annunzio"" CHIETI-PESCARA";University G. d’Annunzío in Chieti-Pescara;IT;University;25590;195
UKE - Università Kore di ENNA;Kore University of Enna (UKE);IT;University;5700;44
Università degli Studi di FERRARA;University of Ferrara;IT;University;16398;334
Università degli Studi di FIRENZE;University of Florence;IT;University;52310;861
"Università Telematica ""ITALIAN UNIVERSITY LINE"" - IUL";Italian University Line - IUL;IT;Online University;248;a
Università degli Studi di FOGGIA;University of Foggia;IT;University;9751;84
Università degli Studi di GENOVA;University of Genoa;IT;University;32994;976
"Università degli Studi de L'AQUILA";"University of L'Aquila";IT;University;17584;197
Università del SALENTO;University of Salento;IT;University;16863;229
Scuola IMT - Istituzioni, Mercati, Tecnologie - Alti Studi - LUCCA;IMT School for Advanced Studies Lucca;IT;Higher School;a;134
Università degli Studi di MACERATA;University of Macerata;IT;University;10376;126
Università degli Studi di MESSINA;University of Messina;IT;University;23817;383
Libera Università di lingue e comunicazione IULM-MI;Free University of Languages and Communication;IT;University;5628;25
Politecnico di MILANO;Politecnico di Milano;IT;Technical University;44656;1009
Università Cattolica del Sacro Cuore;Università Cattolica del Sacro Cuore;IT;University;40457;505
"Università Commerciale ""Luigi Bocconi"" MILANO";Università Bocconi;IT;University;13680;164
Università degli Studi di MILANO;University of Milan;IT;University;62197;992
"Libera Università ""Vita Salute S.Raffaele"" MILANO";Vita-Salute San Raffaele University;IT;University;2892;92
Università degli Studi di MILANO-BICOCCA;University of Milano-Bicocca;IT;University;34093;473
Università Telematica San Raffaele Roma;Online University San Raffaele Rome;IT;Online University;3058;0
Università degli Studi di MODENA e REGGIO EMILIA;University of Modena and Reggio Emilia (UNIMORE);IT;University;23603;359
Università degli Studi Suor Orsola Benincasa - NAPOLI;Suor Orsola Benincasa University;IT;University;8578;49
Università degli Studi della Campania Luigi Vanvitelli;University of Campania Luigi Vanvitelli;IT;University;26675;335
"Università degli Studi di NAPOLI ""Federico II""";University of Naples Federico II;IT;University;75821;938
"Università degli Studi di NAPOLI ""L'Orientale""";"""Orientale"" University of Naples";IT;University;10860;89
"Università degli Studi di NAPOLI ""Parthenope""";"University of Naples ""Parthenope""";IT;University;12959;209
Università Telematica PEGASO;"Online University ""Pegaso""";IT;Online University;21954;a
"Università Telematica ""E-CAMPUS""";"Online University ""e-Campus""";IT;Online University;9442;a
Università degli Studi di PADOVA;University of Padova;IT;University;60241;1228
Università degli Studi di PALERMO;University of Palermo;IT;University;41057;401
Università degli Studi di PARMA;University of Parma;IT;University;25109;404
I.U.S.S. - Istituto Universitario di Studi Superiori - PAVIA;Institute for Advanced Study - IUSS of Pavia;IT;Higher School;122;60
Università degli Studi di PAVIA;University of Pavia;IT;University;22937;496
Università degli Studi di PERUGIA;University of Perugia;IT;University;23673;349
Università per Stranieri di PERUGIA;University for Foreigners Perugia;IT;University for Foreigners;925;30
Scuola Normale Superiore di PISA;Scuola Normale Superiore;IT;Higher School;a;265
"Scuola Superiore di Studi Universitari e Perfezionamento Sant'Anna";"Sant'Anna School for Advanced Studies";IT;Higher School;278;398
Università di PISA;University of Pisa;IT;University;46968;658
Università degli Studi della BASILICATA;University of the Basilicata;IT;University;6582;117
"Università degli Studi ""Mediterranea"" di REGGIO CALABRIA";Università Mediterranea of Reggio Calabria;IT;University;5978;86
"Università per Stranieri ""Dante Alighieri"" di REGGIO CALABRIA";"University for Foreigners ""Dante Alighieri""";IT;University for Foreigners;938;a
Università degli Studi ROMA TRE;Roma Tre University;IT;University;33122;510
Università degli Studi Internazionali di ROMA (UNINT);Rome University of International Studies;IT;University;1736;m
LUISS - Libera Università internazionale degli studi sociali Guido Carli di Roma;LUISS Guido Carli;IT;University;9902;110
"Libera Univ. degli Studi ""Maria SS. Assunta"" - LUMSA - Roma";Free University Maria SS. Assunta (LUMSA);IT;University;6234;26
"Università ""Campus Bio-Medico"" di ROMA";Campus Bio-Medico University;IT;University;2159;50
"Università degli Studi di ROMA ""La Sapienza""";Sapienza University of Rome;IT;University;105483;3077
"Università degli Studi di ROMA ""Foro Italico""";"University of Rome ""Foro Italico""";IT;University;2200;29
"Università degli Studi di ROMA ""Tor Vergata""";University of Rome Tor Vergata;IT;University;31724;1099
Università degli Studi EUROPEA di ROMA;European University of Rome;IT;University;940;8
Università Telematica GUGLIELMO MARCONI;Marconi University;IT;Online University;8790;4
Università Telematica UNITELMA SAPIENZA;Unitelma Sapienza;IT;Online University;4817;a
UNICUSANO Università degli Studi Niccolò Cusano -Telematica Roma;University Niccolò Cusano;IT;Online University;20647;m
Università Telematica Internazionale UNINETTUNO;International Online University UNINETTUNO;IT;Online University;10916;a
"Università Telematica ""Universitas MERCATORUM""";Universitas Mercatorum;IT;Online University;331;a
Università degli Studi di SALERNO;University of Salerno;IT;University;35629;375
Università degli Studi di SASSARI;University of Sassari;IT;University;13522;182
Università degli Studi di SIENA;University of Siena;IT;University;16528;319
Università per Stranieri di SIENA;University for Foreigners of Siena;IT;University for Foreigners;1965;26
Università degli Studi di TERAMO;University of Teramo;IT;University;6336;142
Politecnico di TORINO;Politecnico di Torino;IT;Technical University;31032;633
Università degli Studi di TORINO;University of Turin;IT;University;70750;780
"Università Telematica ""LEONARDO da VINCI""";Telematic University Leonardo da Vinci;IT;Online University;677;a
Università degli Studi di TRENTO;University of Trento;IT;University;16271;593
Scuola Internazionale Superiore di Studi Avanzati di TRIESTE;International School for Advanced Studies (SISSA);IT;Higher School;a;346
Università degli Studi di TRIESTE;University of Trieste;IT;University;15450;306
Università degli Studi di UDINE;University of Udine;IT;University;15668;249
"Università degli Studi di URBINO ""Carlo BO""";University of Urbino Carlo Bo;IT;University;14010;117
Università degli Studi INSUBRIA Varese-Como;University of Insubria;IT;University;9838;197
"Università ""Cà Foscari"" VENEZIA";Ca’ Foscari University of Venice;IT;University;20444;323
Università IUAV di VENEZIA;University IUAV of Venice;IT;University;4289;113
"Università degli Studi del PIEMONTE ORIENTALE ""Amedeo Avogadro""-Vercelli";"University of Piemonte Orientale ""Amedeo Avogadro""";IT;University;12130;88
Università degli Studi di VERONA;University of Verona;IT;University;24900;322
Università degli Studi della TUSCIA;University of Tuscia;IT;University;7865;140
Accademia delle Belle Arti di Bari;Academy of fine arts of Bari;IT;Academy of fine art;641;a
Accademia delle Belle Arti di Bologna;Academy of fine arts of Bologna;IT;Academy of fine art;1827;a
Accademia delle Belle Arti di Carrara;Academy of fine arts of Carrara;IT;Academy of fine art;875;a
Accademia delle Belle Arti di Catania;Academy of fine arts of Catania;IT;Academy of fine art;1673;a
Accademia delle Belle Arti di Catanzaro;Academy of fine arts of Catanzaro;IT;Academy of fine art;202;a
Accademia delle Belle Arti di Firenze;Academy of fine arts of Firenze;IT;Academy of fine art;1190;a
Accademia delle Belle Arti di Foggia;Academy of fine arts of Foggia;IT;Academy of fine art;667;a
Accademia delle Belle Arti di Frosinone;Academy of fine arts of Frosinone;IT;Academy of fine art;497;a
"Accademia delle Belle Arti dell'Aquila";"Academy of fine arts of L'Aquila";IT;Academy of fine art;379;a
Accademia delle Belle Arti di Lecce;Academy of fine arts of Lecce;IT;Academy of fine art;572;a
Accademia delle Belle Arti di Macerata;Academy of fine arts of Macerata;IT;Academy of fine art;1126;a
"Accademia delle Belle Arti di Milano ""Brera""";"Academy of fine arts of Milano ""Brera""";IT;Academy of fine art;4767;a
Accademia delle Belle Arti di Napoli;Academy of fine arts of Napoli;IT;Academy of fine art;2937;a
Accademia delle Belle Arti di Palermo;Academy of fine arts of Palermo;IT;Academy of fine art;1534;a
Accademia delle Belle Arti di Reggio Calabria;Academy of fine arts of Reggio Calabria;IT;Academy of fine art;367;a
Accademia delle Belle Arti di Roma;Academy of fine arts of Roma;IT;Academy of fine art;2660;a
"Accademia delle Belle Arti ""Mario Sironi"" - Sassari";"Academy of fine arts ""Mario Sironi"" - Sassari";IT;Academy of fine art;472;a
"Accademia delle Belle Arti di Torino ""Albertina""";"Academy of fine arts of Torino ""Albertina""";IT;Academy of fine art;1637;a
Accademia delle Belle Arti di Urbino;Academy of fine arts of Urbino;IT;Academy of fine art;565;a
Accademia delle Belle Arti di Venezia;Academy of fine arts of Venezia;IT;Academy of fine art;1313;a
"Accademia delle Belle Arti legalmente riconosciuta di BERGAMO ""Carrara""";"Free Academy of fine arts of BERGAMO ""Carrara""";IT;Free Academy of fine arts;148;a
"Accademia delle Belle Arti legalmente riconosciuta di BRESCIA ""Santagiulia""";"Free Academy of fine arts of BRESCIA ""Santagiulia""";IT;Free Academy of fine arts;723;a
"Accademia delle Belle Arti legalmente riconosciuta di BRESCIA ""LABA"" - libera accademia di belle arti";"Free Academy of fine arts of BRESCIA ""LABA"" - libera accademia di belle arti";IT;Free Academy of fine arts;1091;a
"Accademia delle Belle Arti legalmente riconosciuta di COMO ""Aldo Galli""";"Free Academy of fine arts of COMO ""Aldo Galli""";IT;Free Academy of fine arts;194;a
Accademia delle Belle Arti legalmente riconosciuta di CUNEO;Free Academy of fine arts of CUNEO;IT;Free Academy of fine arts;1067;a
"Accademia delle Belle Arti legalmente riconosciuta di GENOVA ""Accademia Ligustica""";"Free Academy of fine arts of GENOVA ""Accademia Ligustica""";IT;Free Academy of fine arts;426;a
"Accademia delle Belle Arti legalmente riconosciuta di MILANO ""NABA"" - nuova accademia di belle arti";"Free Academy of fine arts of MILANO ""NABA"" - nuova accademia di belle arti";IT;Free Academy of fine arts;3262;a
"Accademia delle Belle Arti legalmente riconosciuta di MILANO ""ACME""";"Free Academy of fine arts of MILANO ""ACME""";IT;Free Academy of fine arts;200;a
"Accademia delle Belle Arti legalmente riconosciuta di NOVARA ""ACME""";"Free Academy of fine arts of NOVARA ""ACME""";IT;Free Academy of fine arts;140;a
"Accademia delle Belle Arti legalmente riconosciuta di PERUGIA ""Pietro Vannucci""";"Free Academy of fine arts of PERUGIA ""Pietro Vannucci""";IT;Free Academy of fine arts;515;a
Accademia delle Belle Arti legalmente riconosciuta di RAVENNA;Free Academy of fine arts of RAVENNA;IT;Free Academy of fine arts;132;a
"Accademia delle Belle Arti legalmente riconosciuta di ROMA ""Rome University of Fine Arts""";"Free Academy of fine arts of ROMA ""Rome University of Fine Arts""";IT;Free Academy of fine arts;738;a
"Accademia delle Belle Arti legalmente riconosciuta di S.AGATA LI BATTIATI (CT) ""Abadir"" accademia di belle arti e restauro";"Free Academy of fine arts of S.AGATA LI BATTIATI (CT) ""Abadir""";IT;Free Academy of fine arts;m;a
"Accademia delle Belle Arti legalmente riconosciuta di S.MARTINO DELLE SCALE (PA) ""Abadir""";"Free Academy of fine arts of S.MARTINO DELLE SCALE (PA) ""Abadir""";IT;Free Academy of fine arts;6;a
"Accademia delle Belle Arti legalmente riconosciuta di SANREMO (IM) ""Istituto I. Duncan""";"Free Academy of fine arts of SANREMO (IM) ""Istituto I. Duncan""";IT;Free Academy of fine arts;41;a
"Accademia delle Belle Arti legalmente riconosciuta di SIRACUSA ""Rosario Gagliardi""";"Free Academy of fine arts of SIRACUSA ""Rosario Gagliardi""";IT;Free Academy of fine arts;30;a
"Accademia delle Belle Arti legalmente riconosciuta di STEFANACONI - VIBO VALENTIA ""Fidia""";"Free Academy of fine arts of STEFANACONI - VIBO VALENTIA ""Fidia""";IT;Free Academy of fine arts;185;a
"Accademia delle Belle Arti legalmente riconosciuta di TRAPANI ""Kandinskij""";"Free Academy of fine arts of TRAPANI ""Kandinskij""";IT;Free Academy of fine arts;m;a
"Accademia delle Belle Arti legalmente riconosciuta di VERONA ""Cignaroli""";"Free Academy of fine arts of VERONA ""Cignaroli""";IT;Free Academy of fine arts;636;a
"Accademia delle Belle Arti legalmente riconosciuta di VITERBO ""Lorenzo da Viterbo""";"Free Academy of fine arts of VITERBO ""Lorenzo da Viterbo""";IT;Free Academy of fine arts;40;a
"Accademia Nazionale di Arte Drammatica di ROMA ""Silvio d'Amico""";"National Academy of Drama ""Silvio D'Amico""";IT;National Academy of Drama;146;a
Accademia nazionale di danza di ROMA;National Dance Academy;IT;Higher Institute for Musical and Choreographic Studies;307;a
"Conservatorio di ADRIA (RO) ""Antonio Buzzolla""";"Music Conservatory of ADRIA (RO) ""Antonio Buzzolla""";IT;Higher Institute for Musical and Choreographic Studies;224;a
"Conservatorio di ALESSANDRIA ""Antonio Vivaldi""";"Music Conservatory of ALESSANDRIA ""Antonio Vivaldi""";IT;Higher Institute for Musical and Choreographic Studies;253;a
"Conservatorio di AVELLINO ""Domenico Cimarosa""";"Music Conservatory of AVELLINO ""Domenico Cimarosa""";IT;Higher Institute for Musical and Choreographic Studies;756;a
"Conservatorio di BARI ""Niccolò Piccinni""";"Music Conservatory of BARI ""Niccolò Piccinni""";IT;Higher Institute for Musical and Choreographic Studies;832;a
"Conservatorio di BENEVENTO ""Nicola Sala""";"Music Conservatory of BENEVENTO ""Nicola Sala""";IT;Higher Institute for Musical and Choreographic Studies;734;a
"Conservatorio di BOLOGNA ""Giovan B. Martini""";"Music Conservatory of BOLOGNA ""Giovan B. Martini""";IT;Higher Institute for Musical and Choreographic Studies;548;a
"Conservatorio di BOLZANO ""Claudio Monteverdi""";"Music Conservatory of BOLZANO ""Claudio Monteverdi""";IT;Higher Institute for Musical and Choreographic Studies;303;a
"Conservatorio di BRESCIA ""Luca Marenzio""";"Music Conservatory of BRESCIA ""Luca Marenzio""";IT;Higher Institute for Musical and Choreographic Studies;367;a
"Conservatorio di CAGLIARI ""Pierluigi da Palestrina""";"Music Conservatory of CAGLIARI ""Pierluigi da Palestrina""";IT;Higher Institute for Musical and Choreographic Studies;341;a
"Conservatorio di CAMPOBASSO ""Lorenzo Perosi""";"Music Conservatory of CAMPOBASSO ""Lorenzo Perosi""";IT;Higher Institute for Musical and Choreographic Studies;332;a
"Conservatorio di CASTELFRANCO VENETO (TV) ""Agostino Steffani""";"Music Conservatory of CASTELFRANCO VENETO (TV) ""Agostino Steffani""";IT;Higher Institute for Musical and Choreographic Studies;246;a
"Conservatorio di CESENA (FC) ""Bruno Maderna""";"Music Conservatory of CESENA (FC) ""Bruno Maderna""";IT;Higher Institute for Musical and Choreographic Studies;188;a
"Conservatorio di COMO ""Giuseppe Verdi""";"Music Conservatory of COMO ""Giuseppe Verdi""";IT;Higher Institute for Musical and Choreographic Studies;288;a
"Conservatorio di COSENZA ""Stanislao Giacomantonio""";"Music Conservatory of COSENZA ""Stanislao Giacomantonio""";IT;Higher Institute for Musical and Choreographic Studies;351;a
"Conservatorio di CUNEO ""G.F. Ghedini""";"Music Conservatory of CUNEO ""G.F. Ghedini""";IT;Higher Institute for Musical and Choreographic Studies;298;a
"Conservatorio di FERMO ""Giovambattista Pergolesi""";"Music Conservatory of FERMO ""Giovambattista Pergolesi""";IT;Higher Institute for Musical and Choreographic Studies;262;a
"Conservatorio di FERRARA ""Girolamo Frescobaldi""";"Music Conservatory of FERRARA ""Girolamo Frescobaldi""";IT;Higher Institute for Musical and Choreographic Studies;299;a
"Conservatorio di FIRENZE ""Luigi Cherubini""";"Music Conservatory of FIRENZE ""Luigi Cherubini""";IT;Higher Institute for Musical and Choreographic Studies;490;a
"Conservatorio di FOGGIA ""Umberto Giordano""";"Music Conservatory of FOGGIA ""Umberto Giordano""";IT;Higher Institute for Musical and Choreographic Studies;320;a
"Conservatorio di FROSINONE ""Licinio Refice""";"Music Conservatory of FROSINONE ""Licinio Refice""";IT;Higher Institute for Musical and Choreographic Studies;753;a
"Conservatorio di GENOVA ""Nicolò Paganini""";"Music Conservatory of GENOVA ""Nicolò Paganini""";IT;Higher Institute for Musical and Choreographic Studies;258;a
"Conservatorio di LA SPEZIA ""Giacomo Puccini""";"Music Conservatory of LA SPEZIA ""Giacomo Puccini""";IT;Higher Institute for Musical and Choreographic Studies;174;a
