Institution Name;English Institution Name;Country Code;Institution Category - English;Total students enrolled ISCED 5-7;Total students enrolled at ISCED 8
"Минно-геоложкият университет ""Св. Иван Рилски""";St. Ivan Rilski University of Mining and Geology;BG;University;2899;60
Лесотехнически университет;University of Forestry;BG;University;2674;56
Медицински университет - София;Medical University - Sofia;BG;University;9912;359
"Национална спортна академия “Васил Левски""";National Sports Academy Vasil Levski;BG;University;2915;144
"Национална Академия за Театрално и Филмово Изкуство ""Кръстьо Сарафов""";Krastyo Sarafov National Academy for Theatre and Film Arts;BG;University;684;27
Национална художествена академия;National Academy of Art;BG;University;910;82
"Национална музикална академия ""Проф. П. Владигеров""";"National Academy of Music ""Prof. Pantcho Vladigerov""";BG;University;637;55
Нов Български Университет;New Bulgarian University;BG;University;9919;77
Висше строително училище “Любен Каравелов”;Higher School of Civil Engineering “Lyuben Karavelov“;BG;University;827;25
"Висше транспортно училище ""Тодор Каблешков""";Todor Kableshkov Higher School of Transport;BG;University;2665;54
Академия на МВР;Academy of Ministry of Internal Affairs;BG;University;1263;50
"Военна академия ""Георги Стойков Раковски""";"""G. S. Rakovski"" National Defence Academy";BG;University;841;56
Университет по библиотекознание и информационни технологии;State University of Library Studies and Information Technologies;BG;University;2234;240
Висше училище по телекомуникации и пощи;University of Telecommunications and Post;BG;College;1392;a
Колеж по мениджмънт, търговия и маркетинг;Management, Trade and Marketing College;BG;College;c;c
"Театрален колеж ""Любен Гройс""";Luben Groys Theatre College;BG;College;43;a
Висше училище по застраховане и финанси;Higher school of insurance and finances;BG;University;1412;15
Международно висше бизнес училище;International Business School;BG;University;3336;9
Тракийски Университет;Trakia University;BG;University;6212;85
Шуменски университет “Епископ Константин Преславски”;Konstantin Preslavsky University of Shumen;BG;University;6399;157
Българска академия на науките;Bulgarian Academy of Sciences;BG;Scientific organization;a;615
Европейски политехнически университет - Перник;European Polytechnical University - Pernik;BG;University;40;a
Universität Basel;University of Basel;CH;Cantonal University;10668;2755
Universität Bern;University of Bern;CH;Cantonal University;14022;2772
