uni1,uni2,weight
POLITECNICO DI MILANO,POLITECNICO DI TORINO,106
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI ROMA TRE,106
UNIVERSITA DEGLI STUDI DI PADOVA,UNIVERSITA DEGLI STUDI DI PARMA,105
UNIVERSITA CA FOSCARI VENEZIA,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,105
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,105
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI GENOVA,105
UNIVERSITA DEGLI STUDI DI PAVIA,UNIVERSITA DEGLI STUDI ROMA TRE,104
UNIVERSITA DEGLI STUDI DI VERONA,UNIVERSITA DEGLI STUDI ROMA TRE,104
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNIVERSITA DEGLI STUDI DI MILANO,104
UNIVERSITA DEGLI STUDI DI TRENTO,UNIVERSITA DI PISA,103
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,103
UNIVERSITA DEGLI STUDI DI TORINO,UNIVERSITA CATTOLICA DEL SACRO CUORE,102
UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,UNIVERSITA DEGLI STUDI DI CATANIA,102
UNIVERSITA DEGLI STUDI ROMA TRE,UNIVERSITA DEGLI STUDI DI PALERMO,101
UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,101
UNIVERSITA DEGLI STUDI DI TRIESTE,UNIVERSITA DEGLI STUDI DI MILANO,101
UNIVERSITA DI PISA,UNIVERSITA DEGLI STUDI DI VERONA,101
POLITECNICO DI MILANO,UNIVERSITA DEGLI STUDI ROMA TRE,101
UNIVERSITA DEGLI STUDI DI SALERNO,UNIVERSITA DEGLI STUDI ROMA TRE,101
UNIVERSITA DEGLI STUDI DI CAGLIARI,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II,101
